8775,BXVDRZ  CXVUUL,948,UAVT
8692,UYQAHQ  VSLFMN,284,CLLI
8066,BXLXFY  FZTRFF,482,JZTE
9116,BSFCZV  QCAIHP,440,GGNK
9745,EIMFIG  KWSCIY,523,BRGP
9995,AOORQF  LLOANI,950,OIZM
8509,KSCKVB  TUABVX,721,VPGK
9871,YLUHLV  ZCZQAQ,927,HAHD
9044,IBMZEF  FPGCXV,778,FURQ
9936,PGDUYX  RYLEUK,773,TTOT
9386,OEWMWF  ASSAKJ,878,BRQZ
8360,JQQHNH  LXHHFR,745,LEJJ
9230,TEARQA  UZFWWU,865,URQL
8679,RDUEMU  BROKKU,672,TWIR
8750,EXZTPL  FVOGSI,583,XQCI
9167,NXXHAQ  HSYHYB,201,TXGE
8111,WDEOLZ  KSNXRJ,332,GXKP
8020,RKCJTR  DDLPYS,968,KAHB
8080,CUEKAJ  QOSTYT,262,RSWN
8268,MEAFQY  FGBNWH,770,EFVT
8850,STHPMW  YZTYCG,994,PWLT
9714,TSZUGT  HAMYLM,878,JFQX
9987,MCGIFA  PFKZON,963,XCPH
8761,QSODTA  LKZCAH,491,PPEZ
9416,FGUQYZ  OGQTVJ,296,VCYY
8868,ASDRUV  SCIYLG,373,MOMX
9105,YZACZW  TEVJKK,540,SCQA
9956,HUAAAB  EZPMLP,599,XDFU
9845,VAELCO  JUKYZM,982,IFDU
8710,VJZUWG  AMXFQZ,464,CBKP
8555,NOISUE  NJAGLH,352,XIPP
9218,AHYXZL  GJFVCD,972,NHVA
9900,EIWIXV  RKYBZM,804,TOVB
8390,XJKQBM  QTCSCP,758,EZDS
9990,VADSTN  KUKXTL,687,SPJI
9046,LXEWXK  MFPNLD,208,COMJ
9958,BHWYQC  CEKWFU,742,JCLO
9797,SGTMYU  OZBKZD,451,KRAI
9928,EVIEEC  QLBAJX,632,RXAV
9726,EVSEAH  NCRHFD,384,MQXY
8973,HNOIMS  KFANPA,881,RXSA
8476,RLAWAV  QLHRBB,367,CEHK
8612,DRSXXI  LDIBFD,755,GILH
8723,UBSLWW  NXDTAB,546,XATB
9345,IMUISI  NXZFRV,871,TPQP
8522,JBSCSN  PKICDM,407,TBKO
9375,QMYMPK  JFNKRV,849,KGDR
8804,ZUCIUF  VWYOUF,479,LWMA
9347,VNTTWN  RVXWMP,660,NNUB
9172,ERRAZU  MIVTXZ,578,ADRR
