8005,STAPMX  GTEXDA,648,QURK
8691,NLHCSE  KDDRZH,661,GDIF
8159,DTDTCC  WZTQVV,492,NDXR
8111,WDEOLZ  KSNXRJ,714,JVAE
8509,KSCKVB  TUABVX,485,YXTT
8080,CUEKAJ  QOSTYT,895,HESC
8750,EXZTPL  FVOGSI,561,YEAS
8850,STHPMW  YZTYCG,629,RUNU
8617,HIRZTN  RQKOVI,379,PTOK
9427,LBJJYU  XMPKTR,521,BBJD
8538,KDUSQJ  FEFXMR,832,USAY
9623,HYARBV  FBUNOI,474,WNFA
8544,YBFAOG  XVTFSH,772,FWXN
8111,WDEOLZ  KSNXRJ,775,JCWW
8509,KSCKVB  TUABVX,884,KOCW
8080,CUEKAJ  QOSTYT,526,BNOR
8750,EXZTPL  FVOGSI,645,RNBF
8850,STHPMW  YZTYCG,322,EWIY
9158,ULUITI  NYSYLA,446,DARP
8761,QSODTA  LKZCAH,562,SCAL
9416,FGUQYZ  OGQTVJ,907,KQLD
8868,ASDRUV  SCIYLG,412,AUDZ
9928,EVIEEC  QLBAJX,777,LJPL
9956,HUAAAB  EZPMLP,399,SRKZ
9845,VAELCO  JUKYZM,261,XMJN
8710,VJZUWG  AMXFQZ,810,HNZY
9928,EVIEEC  QLBAJX,678,JYSS
8048,BUTDPR  RWRWOF,715,TWBQ
8500,GIKZDD  EMPKFY,844,NUJI
9676,JFRXMU  PEKKHP,251,HZZV
9783,CFQKUM  WEOUSU,927,HLWE
9969,PQMYPQ  FBNQQO,356,BXEO
8487,RUWMUA  GFWQBO,900,MQOJ
9319,SSYYCV  MOKCSZ,524,SMEH
9846,UZISYA  TBOXJA,338,CHQE
8761,QSODTA  LKZCAH,425,LAYQ
9416,FGUQYZ  OGQTVJ,378,VZSB
8868,ASDRUV  SCIYLG,297,GMNT
9928,EVIEEC  QLBAJX,383,FSIX
9956,HUAAAB  EZPMLP,242,MNMH
9845,VAELCO  JUKYZM,302,BHRE
8710,VJZUWG  AMXFQZ,719,VIBC
9928,EVIEEC  QLBAJX,359,DJMR
9811,ZRHNRZ  AJIQLZ,800,ORHU
9235,OCVGGX  RJYJJW,822,OFAL
9920,KZPBBW  QFAQFW,679,CBII
8866,ELJWED  JEIBZU,570,MZQX
8093,NVYMKN  QNRYEM,251,KKSS
8310,BYAFLG  LHAJJZ,238,IZRT
8750,BEFEVG  ZMBWRI,909,IVZZ
